vorname,anzahl,geschlecht
Marie,83,w
Sophie,69,w
Alexander,53,m
Paul,48,m
Maria,47,w
Emilia,39,w
Maximilian,38,m
Ali,35,m
Felix,33,m
Helene,32,w
David,32,m
Sophia,31,w
Elias,31,m
Jonas,31,m
Anna,30,w
Julia,28,w
Emil,28,m
Luise,28,w
Mia,27,w
Charlotte,26,w
Johanna,26,w
Anton,25,m
Julian,25,m
Clara,25,w
Emma,25,w
Adrian,24,m
Lukas,24,m
Jakob,23,m
Lena,23,w
Benjamin,22,m
Johannes,22,m
Ella,22,w
Victoria,22,w
Michael,21,m
Emir,20,m
Lara,20,w
Johann,20,m
Luca,20,m
Oskar,20,m
Leon,19,m
Louis,19,m
Max,19,m
Philipp,19,m
Samuel,19,m
Elisabeth,18,w
Daniel,18,m
Friedrich,18,m
Leonard,18,m
Mehmet,18,m
Lisa,17,w
Mila,17,w
Jonathan,17,m
Noah,17,m
Elif,16,w
Lea,16,w
Lilly,16,w
Nur,16,w
Berat,16,m
Julius,16,m
Theo,16,m
Paula,15,w
Ben,15,m
Valentin,15,m
Luisa,14,w
Sarah,14,w
Adam,14,m
Joel,14,m
Karl,14,m
Moritz,14,m
Hannah,13,w
Helena,13,w
Pauline,13,w
Carl,13,m
Frederik,13,m
Gabriel,13,m
Richard,13,m
Vincent,13,m
Mathilda,12,w
Maya,12,w
Sara,12,w
Valentina,12,w
August,12,m
Erik,12,m
Hans,12,m
Henri,12,m
Jan,12,m
Mats,12,m
Mika,12,m
Sebastian,12,m
Theodor,12,m
Tim,12,m
Antonia,11,w
Ela,11,w
Elisa,11,w
Emily,11,w
Fatima,11,w
Greta,11,w
Hanna,11,w
Josephine,11,w
Laura,11,w
Leonie,11,w
Marlene,11,w
Milena,11,w
Nisa,11,w
Can,11,m
Christian,11,m
Gustav,11,m
Lucas,11,m
Luis,11,m
Martin,11,m
Milan,11,m
Minh,11,m
Mohamed,11,m
Mohammad,11,m
Muhammed,11,m
Ole,11,m
Raphael,11,m
Fabienne,10,w
Felicitas,10,w
Frieda,10,w
Ida,10,w
Isabella,10,w
Katharina,10,w
Mariam,10,w
Martha,10,w
Pia,10,w
Sofia,10,w
Vanessa,10,w
Amir,10,m
Bruno,10,m
Caspar,10,m
Constantin,10,m
Finn,10,m
Hüseyin,10,m
Ibrahim,10,m
Mohammed,10,m
Oscar,10,m
Tom,10,m
Yusuf,10,m
Alexandra,9,w
Azra,9,w
Carlotta,9,w
Jasmin,9,w
Lina,9,w
Lotte,9,w
Nora,9,w
Theresa,9,w
Arthur,9,m
Fabian,9,m
Ferdinand,9,m
Jacob,9,m
Karim,9,m
Leo,9,m
Leonardo,9,m
Liam,9,m
Linus,9,m
Maxim,9,m
Nils,9,m
Yasin,9,m
Amy,8,w
Angelina,8,w
Frida,8,w
Leni,8,w
Magdalena,8,w
Maja,8,w
Meryem,8,w
Zoe,8,w
Ahmad,8,m
Andreas,8,m
Angelo,8,m
Georg,8,m
Hussein,8,m
John,8,m
Leander,8,m
Lennox,8,m
Muhammet,8,m
Niklas,8,m
Osman,8,m
Otto,8,m
Peter,8,m
Alma,7,w
Amina,7,w
Anh,7,w
Esma,7,w
Eva,7,w
Leyla,7,w
Linh,7,w
Livia,7,w
Melissa,7,w
Mira,7,w
Stella,7,w
Yasmin,7,w
Zeynep,7,w
Albert,7,m
Antonio,7,m
Baran,7,m
Damian,7,m
Emanuel,7,m
Emre,7,m
Enes,7,m
Hadi,7,m
Hamza,7,m
Hendrik,7,m
Henry,7,m
Jeremy,7,m
Josef,7,m
Joshua,7,m
Justus,7,m
Levi,7,m
Malik,7,m
Maurice,7,m
Mert,7,m
Nikolas,7,m
Omar,7,m
Pascal,7,m
Wilhelm,7,m
Alina,6,w
Anastasia,6,w
Carla,6,w
Elena,6,w
Ellen,6,w
Josefine,6,w
Klara,6,w
Lia,6,w
Luna,6,w
Mai,6,w
Mara,6,w
Naz,6,w
Rosalie,6,w
Su,6,w
Yağmur,6,w
Adriano,6,m
André,6,m
Benedikt,6,m
Benno,6,m
Edgar,6,m
Efe,6,m
Emin,6,m
Florian,6,m
Furkan,6,m
Jona,6,m
Kevin,6,m
Leopold,6,m
Ludwig,6,m
Maria,6,m
Matthias,6,m
Milo,6,m
Mohamad,6,m
Noel,6,m
Umut,6,m
Viktor,6,m
Ada,5,w
Amelie,5,w
Amira,5,w
Ava,5,w
Aylin,5,w
Ayşe,5,w
Caroline,5,w
Celine,5,w
Ceylin,5,w
Christina,5,w
Christine,5,w
Diana,5,w
Eda,5,w
Elsa,5,w
Gerda,5,w
Jana,5,w
Julie,5,w
Karla,5,w
Linda,5,w
Louise,5,w
Margarete,5,w
Matilda,5,w
Melina,5,w
Meta,5,w
Mina,5,w
My,5,w
Nele,5,w
Nicole,5,w
Nina,5,w
Olivia,5,w
Paulina,5,w
Ruby,5,w
Sena,5,w
Tuana,5,w
Viktoria,5,w
Ahmet,5,m
Alex,5,m
Arda,5,m
Bennet,5,m
Christopher,5,m
Dean,5,m
Dominik,5,m
Emirhan,5,m
Ensar,5,m
Fabio,5,m
Fernando,5,m
Franz,5,m
Frederick,5,m
Fritz,5,m
Fynn,5,m
Hassan,5,m
Herbert,5,m
Hugo,5,m
Ismail,5,m
Ivan,5,m
Jakub,5,m
James,5,m
Jannik,5,m
Jean,5,m
Jonah,5,m
Joseph,5,m
Junior,5,m
Kadir,5,m
Kilian,5,m
Kuzey,5,m
Leonhard,5,m
Levin,5,m
Malek,5,m
Malte,5,m
Manuel,5,m
Mark,5,m
Mattis,5,m
Mustafa,5,m
Neo,5,m
Nikolaus,5,m
Oliver,5,m
Pepe,5,m
Rafael,5,m
Robert,5,m
Roman,5,m
Simon,5,m
Timo,5,m
Wolfgang,5,m
Yunus,5,m
Adele,4,w
Adriana,4,w
Aisha,4,w
Alisa,4,w
Amalia,4,w
Amilia,4,w
Anne,4,w
Astrid,4,w
Bahar,4,w
Cecilia,4,w
Ceyda,4,w
Dila,4,w
Ecrin,4,w
Elin,4,w
Emilie,4,w
Erika,4,w
Esila,4,w
Fatma,4,w
Finja,4,w
Fiona,4,w
Florentine,4,w
Friederike,4,w
Gabriela,4,w
Gabriele,4,w
Gabriella,4,w
Gül,4,w
Ha,4,w
Halina,4,w
Helen,4,w
Henriette,4,w
Irene,4,w
Juna,4,w
Juno,4,w
Larissa,4,w
Layla,4,w
Leandra,4,w
Lilli,4,w
Lisbeth,4,w
Lotta,4,w
Louisa,4,w
Lucia,4,w
Malak,4,w
Melis,4,w
Merve,4,w
Miriam,4,w
Ngọc,4,w
Nike,4,w
Philippa,4,w
Rana,4,w
Regina,4,w
Rita,4,w
Romy,4,w
Rose,4,w
Sabine,4,w
Safija,4,w
Samantha,4,w
Selma,4,w
Shirin,4,w
Sofie,4,w
Aaron,4,m
Tabea,4,w
Ahmed,4,m
Tamara,4,w
Alper,4,m
Wanda,4,w
Anthony,4,m
Wilhelmine,4,w
Aras,4,m
Yara,4,w
Artur,4,m
Azad,4,m
Bao,4,m
Carlo,4,m
Carlos,4,m
Charlie,4,m
Clemens,4,m
Colin,4,m
Eduard,4,m
Elia,4,m
Emilian,4,m
Emilio,4,m
Finley,4,m
Frank,4,m
Gregor,4,m
Hannes,4,m
İbrahim,4,m
Ilyas,4,m
Jad,4,m
Johan,4,m
Khaled,4,m
Konstantin,4,m
Kurt,4,m
Lennart,4,m
Luan,4,m
Luciano,4,m
Mahmoud,4,m
Marek,4,m
Marlon,4,m
Marvin,4,m
Mateo,4,m
Matteo,4,m
Mehdi,4,m
Mikail,4,m
Muhamed,4,m
Musa,4,m
Nick,4,m
Philip,4,m
Piet,4,m
Rasmus,4,m
René,4,m
Ricardo,4,m
Ryan,4,m
Salih,4,m
Samir,4,m
Selim,4,m
Tarik,4,m
Tayler,4,m
Toni,4,m
Tyler,4,m
Werner,4,m
Yassin,4,m
Yiğit,4,m
Ömer,4,m
Adelisa,3,w
Alara,3,w
Alia,3,w
Aliya,3,w
Alva,3,w
Amalie,3,w
Amani,3,w
Amelia,3,w
Andrea,3,w
Anisa,3,w
Anni,3,w
Bianca,3,w
Cansu,3,w
Carolina,3,w
Cassandra,3,w
Celina,3,w
Chantal,3,w
Claire,3,w
Daniela,3,w
Dilara,3,w
Dilek,3,w
Dorothea,3,w
Ebba,3,w
Edda,3,w
Eileen,3,w
Eleni,3,w
Elida,3,w
Emine,3,w
Emmi,3,w
Esra,3,w
Ewa,3,w
Eylül,3,w
Felicia,3,w
Felina,3,w
Flora,3,w
Franziska,3,w
Hatice,3,w
Hope,3,w
İlayda,3,w
Iman,3,w
Ingrid,3,w
Jamila,3,w
Jolie,3,w
Kaur,3,w
Kristina,3,w
Laetitia,3,w
Lamis,3,w
Lavin,3,w
Leila,3,w
Leticia,3,w
Letizia,3,w
Lidia,3,w
Lien,3,w
Linn,3,w
Abbas,3,m
Linnea,3,w
Abdul,3,m
