vorname,anzahl,geschlecht
Marie,34,w
Sophie,29,w
Paul,21,m
Alexander,14,m
Emil,14,m
Johanna,14,w
Luise,14,w
Louis,13,m
Maximilian,13,m
Mia,13,w
Ben,12,m
Emilia,12,w
Julian,12,m
Emma,12,w
Felix,11,m
Elisabeth,11,w
Niklas,11,m
Lea,11,w
Maria,11,w
Leon,10,m
Noah,10,m
Anna,10,w
Oskar,10,m
Leonie,10,w
Lina,10,w
Pia,10,w
Jonas,9,m
Leonard,9,m
Luca,9,m
Elisa,9,w
Jasmin,9,w
Elias,8,m
Jonathan,8,m
Amelie,8,w
Lucas,8,m
Emily,8,w
Luis,8,m
Sophia,8,w
Moritz,8,m
Hannah,7,w
Lukas,7,m
Josephine,7,w
Max,7,m
Leni,7,w
Lisa,7,w
Sarah,7,w
Benjamin,6,m
Christian,6,m
David,6,m
Charlotte,6,w
Fabian,6,m
Helene,6,w
Maxim,6,m
Lilly,6,w
Oliver,6,m
Nina,6,w
Tom,6,m
Pauline,6,w
Valentina,6,w
Aaron,5,m
Anton,5,m
Ella,5,w
Daniel,5,m
Eva,5,w
Edgar,5,m
Fabienne,5,w
Finn,5,m
Isabella,5,w
Frank,5,m
Lara,5,w
Jakob,5,m
Luisa,5,w
Jamie,5,m
Maja,5,w
Johann,5,m
Marlene,5,w
Julius,5,m
Mathilda,5,w
Karl,5,m
Nele,5,w
Liam,5,m
Nora,5,w
Linus,5,m
Marlon,5,m
Ole,5,m
Philipp,5,m
Samuel,5,m
Theodor,5,m
Annika,4,w
Aurora,4,w
Clara,4,w
Elise,4,w
Fiona,4,w
Greta,4,w
Adrian,4,m
Helena,4,w
Dean,4,m
Josefine,4,w
Jannik,4,m
Julia,4,w
Jayden,4,m
Klara,4,w
Justus,4,m
Laura,4,w
Lars,4,m
Lia,4,w
Lennard,4,m
Lotta,4,w
Leo,4,m
Margarete,4,w
Leopold,4,m
Martha,4,w
Levi,4,m
Sofie,4,w
Malte,4,m
Martin,4,m
Nils,4,m
Thomas,4,m
Alexandra,3,w
Alina,3,w
Anouk,3,w
Antonia,3,w
Arne,3,m
Carlotta,3,w
Arthur,3,m
Ellen,3,w
August,3,m
Finja,3,w
Bennet,3,m
Frieda,3,w
Béla,3,m
Hanna,3,w
Constantin,3,m
Ida,3,w
Damien,3,m
Jolie,3,w
Enrico,3,m
Katharina,3,w
Erik,3,m
Leana,3,w
Florian,3,m
Lena,3,w
Franz,3,m
Lotte,3,w
Friedrich,3,m
Lucy,3,w
Fynn,3,m
Lynn,3,w
Gustav,3,m
Matilda,3,w
Hannes,3,m
Maxi,3,w
Jan,3,m
Maya,3,w
Joel,3,m
Mila,3,w
Jordan,3,m
Mira,3,w
Juri,3,m
Olivia,3,w
Konstantin,3,m
Rosalie,3,w
Lenny,3,m
Ruth,3,w
Luke,3,m
Stefanie,3,w
Matteo,3,m
Stella,3,w
Nico,3,m
Theresa,3,w
Philip,3,m
Yara,3,w
Richard,3,m
Sascha,3,m
Sebastian,3,m
Taylor,3,m
Till,3,m
Valentin,3,m
Vitus,3,m
Alva,2,w
Amy,2,w
Annemarie,2,w
Ariane,2,w
Bianca,2,w
Caroline,2,w
Celina,2,w
Albert,2,m
Christin,2,w
Ansgar,2,m
Dilara,2,w
Anthony,2,m
Elena,2,w
Armin,2,m
Elli,2,w
Aurelius,2,m
Elsa,2,w
Bastian,2,m
Emelie,2,w
Bela,2,m
Emilie,2,w
Benno,2,m
Felina,2,w
Carl,2,m
Florentina,2,w
Carlo,2,m
Gerda,2,w
Carsten,2,m
Heidi,2,w
Colin,2,m
Isabel,2,w
Connor,2,m
Isabell,2,w
Cornelius,2,m
Jenny,2,w
Damian,2,m
Jolina,2,w
Elay,2,m
Josefin,2,w
Erwin,2,m
Judith,2,w
Ferdinand,2,m
Julie,2,w
Fiete,2,m
Juna,2,w
Finley,2,m
Laila,2,w
Finnley,2,m
Lenya,2,w
Frido,2,m
Leonie-Sophie,2,w
Gabor,2,m
Louisa,2,w
Gabriel,2,m
Louise,2,w
Hajo,2,m
Lucia,2,w
Hans,2,m
Lucie,2,w
Harald,2,m
Malou,2,w
Heinz,2,m
Manuela,2,w
Henri,2,m
Mara,2,w
Henrik,2,m
Marla,2,w
Henry,2,m
Martina,2,w
Ian,2,m
Melina,2,w
Jacob,2,m
Mika,2,w
Jake,2,m
Milena,2,w
Jannick,2,m
Milla,2,w
Jaron,2,m
Miriam,2,w
Jasper,2,m
Momo,2,w
Jean,2,m
Mona,2,w
Jeremy,2,m
Nelly,2,w
Jerome,2,m
Paula,2,w
Joachim,2,m
Paulina,2,w
John,2,m
Pina,2,w
Jona,2,m
Rosa,2,w
Jonah,2,m
Selma,2,w
Jérôme,2,m
Sina,2,w
Jörg,2,m
Svenja,2,w
Jürgen,2,m
Tamina,2,w
Kolja,2,m
Tessa,2,w
Lennox,2,m
Victoria,2,w
Lewin,2,m
Wanda,2,w
Lian,2,m
Xenia,2,w
Lion,2,m
Zoey,2,w
Ludwig,2,m
Marcus,2,m
Mathis,2,m
Maurice,2,m
Michael,2,m
Michel,2,m
Milan,2,m
Nathan,2,m
Nick,2,m
Nino,2,m
Norbert,2,m
Odin,2,m
Olaf,2,m
Pascal,2,m
Patrick,2,m
Peer,2,m
Pierre,2,m
Piet,2,m
Ryan,2,m
Sam,2,m
Simon,2,m
Tamme,2,m
Tim,2,m
Tobias,2,m
Toni,2,m
Tristan,2,m
Vin,2,m
Vincent,2,m
Yannick,2,m
Aala,1,w
Aby,1,w
Adelheid,1,w
Adidja,1,w
Aileen,1,w
Aimée,1,w
Alea,1,w
Alexia,1,w
Alice,1,w
Alicia,1,w
Alida,1,w
Aliyah,1,w
Alma,1,w
Alvina,1,w
Amadea-Leontin,1,w
Amalia,1,w
Amalie,1,w
Amalina,1,w
Amaya,1,w
Ambarani,1,w
Amelia,1,w
Amilia,1,w
Amira,1,w
Amita,1,w
Ammelie,1,w
Amone,1,w
Amy-Amadee,1,w
Amy-Jolie,1,w
Amélie,1,w
Abdurahman,1,m
Anabelle,1,w
Adnan,1,m
Anastasia,1,w
Aegidius,1,m
Andjela,1,w
Ahmed,1,m
Andrea,1,w
Airmes,1,m
Angela,1,w
Akiba,1,m
Angelie,1,w
Alan,1,m
Angelika,1,w
Alec,1,m
Anika,1,w
Alex,1,m
Anja,1,w
Alfeo,1,m
Anke,1,w
Alvin,1,m
Ann,1,w
Amadeo-Maximilian,1,m
Annabell,1,w
Amadeus,1,m
Annabelle,1,w
Amon,1,m
Annalena,1,w
Amzi,1,m
Annelie,1,w
Anatolij,1,m
Anni,1,w
Andreas,1,m
Annik,1,w
Andros,1,m
Arabella,1,w
André,1,m
Ariana,1,w
Angelus-Brix,1,m
Aurelia,1,w
Anino,1,m
Ayleen,1,w
Anthony-Elvis,1,m
Barbara,1,w
Antonio,1,m
Becky,1,w
Arik,1,m
Benice,1,w
Aron-Jamaine,1,m
Bernadette,1,w
Arvid,1,m
Callyope,1,w
Arwin,1,m
Carla,1,w
Atlas,1,m
Catalea,1,w
Avery,1,m
Catharina,1,w
Awley,1,m
Cattaleya,1,w
Axel,1,m
Cecilia,1,w
Azur,1,m
Celina-Michelle,1,w
Barny,1,m
Celine,1,w
Ben-Elias,1,m
Cellina,1,w
Ben-Luca,1,m
Chalita,1,w
Benned,1,m
Charleen,1,w
Bernhard,1,m
Charlize,1,w
Biko,1,m
Charlotta,1,w
Bronco,1,m
Chelsea,1,w
Bruno,1,m
Chiara,1,w
Caden,1,m
Ciara,1,w
Carlos,1,m
Coco,1,w
Caspar,1,m
Corinna,1,w
Cedric,1,m
Cynthia,1,w
Cedric-Anthony,1,m
Cäcilie,1,w
Chaijm,1,m
Dafina-Medina,1,w
Charly,1,m
Debora,1,w
Christijan,1,m
Diana,1,w
Christopher,1,m
Doris,1,w
Cihan,1,m
Dorothea,1,w
Conan,1,m
Dorothee,1,w
Connor-Jake,1,m
Dua,1,w
Conrad,1,m
Edda,1,w
Cooper,1,m
Elaine,1,w
Cy,1,m
Electra,1,w
Danijel,1,m
Elina,1,w
Darion-Lucas,1,m
Elione,1,w
Darwin,1,m
Elke,1,w
Demian,1,m
Elly,1,w
Denis,1,m
Elsbeth,1,w
Dennis,1,m
Emely,1,w
Denés,1,m
Emma-Lotta,1,w
Detlef,1,m
Emma-Lou,1,w
Devis,1,m
Emmy,1,w
Diego-Miguél,1,m
Emwa,1,w
Dietmar,1,m
Emylie,1,w
Dimitrios,1,m
Ennie,1,w
Dion,1,m
Erika,1,w
Djumaa,1,m
Erna,1,w
Domenick-Pascal,1,m
Esther,1,w
Dominic,1,m
Evaline,1,w
Dominik,1,m
Evangeline,1,w
Don,1,m
Evelyn,1,w
Duc,1,m
Fabien,1,w
Dustin,1,m
Fanny,1,w
Eddi,1,m
Felicia,1,w
Eddy,1,m
Felizitas,1,w
Einar,1,m
Fibi,1,w
Eli,1,m
Fina,1,w
Elvin,1,m
Finja-Haley,1,w
Emilian,1,m
Finnja,1,w
Emilio,1,m
Flora,1,w
Emirkan,1,m
Franziska,1,w
Emmett,1,m
Freya,1,w
Enno,1,m
Frida,1,w
Eric,1,m
Friederike,1,w
Fabrice,1,m
Fynja,1,w
Farin,1,m
Gabriele,1,w
Faro,1,m
Gabrielle,1,w
Fernando,1,m
Geneviève,1,w
Finn-Joel,1,m
Giulia-Brooklyn,1,w
Flynn,1,m
Giulietta,1,w
Fred,1,m
Grace,1,w
Frederick,1,m
