vorname,anzahl,geschlecht
Sophie,93,w
Marie,86,w
Maria,66,w
Alexander,61,m
Charlotte,59,w
Paul,57,m
Maximilian,51,m
Emilia,48,w
Mia,46,w
Jonas,44,m
Sophia,44,w
Felix,43,m
Anna,43,w
Johanna,43,w
Elias,42,m
Anton,41,m
Jakob,40,m
Noah,37,m
Emil,36,m
Emma,34,w
Julian,34,m
Luca,34,m
Benjamin,33,m
David,32,m
Jonathan,31,m
Luise,30,w
Mila,30,w
Lukas,28,m
Oskar,28,m
Helene,26,w
Luisa,26,w
Marlene,26,w
Leon,26,m
Greta,25,w
Lara,25,w
Lea,25,w
Adam,24,m
Amelie,24,w
Ali,24,m
Elisabeth,24,w
Ben,24,m
Leonie,24,w
Jan,23,m
Luis,23,m
Niklas,23,m
Clara,22,w
Isabella,22,w
Finn,22,m
Julius,22,m
Karl,22,m
Max,22,m
Emily,21,w
Helena,21,w
Ida,21,w
Erik,21,m
Johannes,21,m
Moritz,21,m
Hanna,20,w
Lina,20,w
Paula,20,w
Theodor,20,m
Valentin,20,m
Antonia,19,w
Elisa,19,w
Ella,19,w
Hannah,19,w
Emir,19,m
Henry,19,m
Leo,19,m
Leonard,19,m
Liam,19,m
Philipp,19,m
Louisa,18,w
Olivia,18,w
Linus,18,m
Michael,18,m
Ole,18,m
Tim,18,m
Julia,17,w
Florian,17,m
Friedrich,17,m
Johann,17,m
Martin,17,m
Theo,17,m
Vincent,17,m
Elif,16,w
Frieda,16,w
Laura,16,w
Mathilda,16,w
Mina,16,w
Nele,16,w
Pauline,16,w
Zoe,16,w
Joshua,16,m
Louis,16,m
Nora,15,w
Levi,15,m
Alma,14,w
Martha,14,w
Rosa,14,w
Arthur,14,m
Can,14,m
Constantin,14,m
Daniel,14,m
Fabian,14,m
Richard,14,m
Simon,14,m
Ela,13,w
Elena,13,w
Eva,13,w
Frida,13,w
Josephine,13,w
Lena,13,w
Maja,13,w
Nisa,13,w
Sara,13,w
Sarah,13,w
Viktoria,13,w
Adrian,13,m
Christian,13,m
Frederik,13,m
Samuel,13,m
Amalia,12,w
Ellen,12,w
Lotta,12,w
Louise,12,w
Mats,12,m
Pia,12,w
Maxim,12,m
Mika,12,m
Peter,12,m
Ava,11,w
Katharina,11,w
Lilly,11,w
August,11,m
Lucia,11,w
Dominik,11,m
Maya,11,w
Joel,11,m
Nina,11,w
Lucas,11,m
Rose,11,w
Mateo,11,m
Valentina,11,w
Mohamed,11,m
Muhammed,11,m
Nils,11,m
Sebastian,11,m
Alina,10,w
Azra,10,w
Isabelle,10,w
Klara,10,w
Aaron,10,m
Mathilde,10,w
Albert,10,m
Mira,10,w
Bruno,10,m
Sofia,10,w
Emilio,10,m
Victoria,10,w
Hugo,10,m
Justus,10,m
Mohamad,10,m
Otto,10,m
Pepe,10,m
Raphael,10,m
Tom,10,m
Wilhelm,10,m
Aurelia,9,w
Aurora,9,w
Henriette,9,w
Jasmin,9,w
Lisa,9,w
Magdalena,9,w
Malou,9,w
Miriam,9,w
Amir,9,m
Carl,9,m
Damian,9,m
Deniz,9,m
Efe,9,m
Ferdinand,9,m
Gabriel,9,m
Jona,9,m
Konstantin,9,m
Leonardo,9,m
Leopold,9,m
Milan,9,m
Mio,9,m
Oliver,9,m
Philip,9,m
Robert,9,m
Taha,9,m
Tobias,9,m
Carlotta,8,w
Elin,8,w
Karla,8,w
Leah,8,w
Lia,8,w
Lotte,8,w
Matilda,8,w
Paulina,8,w
Theresa,8,w
Zeynep,8,w
Ahmet,8,m
Arda,8,m
Benedikt,8,m
Edgar,8,m
Fiete,8,m
Fritz,8,m
Georg,8,m
Henri,8,m
Kaan,8,m
