vorname,anzahl,geschlecht
Sophie,27,w
Marie,18,w
Maximilian,16,m
Alexander,15,m
Sophia,15,w
Maria,13,w
Anna,12,w
Emilia,12,w
Elias,11,m
Felix,9,m
Finn,9,m
Jonas,9,m
Jonathan,9,m
Charlotte,9,w
Friedrich,8,m
Elisabeth,8,w
Luca,8,m
Isabella,8,w
Vincent,8,m
Mia,8,w
Hans,7,m
Emily,7,w
Liam,7,m
Emma,7,w
Viktoria,7,w
Anton,6,m
Arthur,6,m
Amira,6,w
Carl,6,m
Hannah,6,w
Johannes,6,m
Ida,6,w
Justus,6,m
Johanna,6,w
Leon,6,m
Noah,6,m
Paul,6,m
Peter,6,m
Valentin,6,m
Amelie,5,w
Elina,5,w
Fabienne,5,w
Helena,5,w
Lisa,5,w
Bruno,5,m
Martha,5,w
David,5,m
Melina,5,w
Jan,5,m
Sarah,5,w
Julian,5,m
Sofia,5,w
Lukas,5,m
Victoria,5,w
Oliver,5,m
Oskar,5,m
Philipp,5,m
Robert,5,m
Tim,5,m
Amelia,4,w
Carlotta,4,w
Clara,4,w
Fiona,4,w
Florentine,4,w
Ben,4,m
Frieda,4,w
Christian,4,m
Julia,4,w
Daniel,4,m
Lina,4,w
Gabriel,4,m
Lotta,4,w
Georg,4,m
Luisa,4,w
Jacob,4,m
Luise,4,w
Jannis,4,m
Michelle,4,w
Konstantin,4,m
Mila,4,w
Lennart,4,m
Olivia,4,w
Linus,4,m
Pia,4,w
Louis,4,m
Rebecca,4,w
Lucas,4,m
Theresa,4,w
Ludwig,4,m
Mats,4,m
Maxim,4,m
Moritz,4,m
Niklas,4,m
Simon,4,m
Theodor,4,m
Thomas,4,m
Wolfgang,4,m
Alma,3,w
Elena,3,w
Elizabeth,3,w
Eva,3,w
Finja,3,w
Greta,3,w
Hanna,3,w
Jana,3,w
Larissa,3,w
Aaron,3,m
Lea,3,w
Andreas,3,m
Lena,3,w
Constantin,3,m
Leonie,3,w
Emil,3,m
Lilly,3,w
Emilian,3,m
Maja,3,w
Emilio,3,m
Matilda,3,w
Erik,3,m
Maya,3,w
Ferdinand,3,m
Mina,3,w
Frederik,3,m
Zoe,3,w
Hendrik,3,m
Jakob,3,m
Jannes,3,m
Joel,3,m
Karl,3,m
Konrad,3,m
Lennard,3,m
Leo,3,m
Leopold,3,m
Lothar,3,m
Luis,3,m
Max,3,m
Mehmet,3,m
Mert,3,m
Milan,3,m
Minh,3,m
Nicolas,3,m
Nils,3,m
Ole,3,m
Pepe,3,m
Sebastian,3,m
Theo,3,m
Aaliyah,2,w
Aleksandra,2,w
Alicia,2,w
Alva,2,w
Amanda,2,w
Anastasia,2,w
Anouk,2,w
Antonia,2,w
Aylin,2,w
Carla,2,w
Carolina,2,w
Christina,2,w
Deborah,2,w
Diana,2,w
Edda,2,w
Ella,2,w
Erika,2,w
Felice,2,w
Franziska,2,w
Helen,2,w
Helene,2,w
Isabel,2,w
Adrian,2,m
Jasmin,2,w
Arvid,2,m
Josephine,2,w
August,2,m
Karolina,2,w
Benjamin,2,m
Katharina,2,w
Can,2,m
Kim,2,w
Dirk,2,m
Lara,2,w
Dmitryevič,2,m
Laura,2,w
Dominik,2,m
Leyla,2,w
Elia,2,m
Liesbeth,2,w
Eliah,2,m
Liliana,2,w
Franz,2,m
Liv,2,w
Fredrik,2,m
Magdalena,2,w
Fritz,2,m
Malin,2,w
Gregor,2,m
Marianne,2,w
Gustav,2,m
Marlene,2,w
Günter,2,m
Melissa,2,w
Hagen,2,m
Milana,2,w
Heinrich,2,m
Nele,2,w
Henry,2,m
Noemi,2,w
Ivan,2,m
Nora,2,w
Johann,2,m
Paula,2,w
Joshua,2,m
Romy,2,w
Juri,2,m
Selina,2,w
Jürgen,2,m
Smilla,2,w
Kai,2,m
Sonja,2,w
Kevin,2,m
Stefanie,2,w
Kilian,2,m
Valentina,2,w
Lasse,2,m
Wilhelmine,2,w
Luk,2,m
Yuna,2,w
Malik,2,m
Marcel,2,m
Martin,2,m
Marvin,2,m
Matteo,2,m
Michael,2,m
Mikhail,2,m
Miko,2,m
Nick,2,m
Nikolas,2,m
Noam,2,m
Oscar,2,m
Philip,2,m
Raphael,2,m
Richard,2,m
Samuel,2,m
Shayan,2,m
Sven,2,m
Thinh,2,m
Till,2,m
Timo,2,m
Tobias,2,m
Vince,2,m
Wilhelm,2,m
William,2,m
Ada,1,w
Adelaide,1,w
Adelay,1,w
Adele,1,w
Adia,1,w
Adriana,1,w
Ajna,1,w
Akira,1,w
Alayna,1,w
Alice,1,w
Alisar,1,w
Alisha,1,w
Aliyah,1,w
Almina,1,w
Almut-Tamina,1,w
Alwina,1,w
Alys,1,w
Alyssa,1,w
Amaya,1,w
An,1,w
Anabell,1,w
Andrea,1,w
Andreevna,1,w
Anett,1,w
Anežka,1,w
Abaz,1,m
Angela,1,w
Adam,1,m
Anis,1,w
Adam-Elyas,1,m
Anita,1,w
Adriano,1,m
Anna-Marie,1,w
Adriel,1,m
Annabell,1,w
Ahmad,1,m
Annabella,1,w
Aiven,1,m
Annamaria,1,w
Akif,1,m
Anneke,1,w
Akiva,1,m
Anneliese,1,w
Alan,1,m
Anni,1,w
Albert,1,m
Annika,1,w
Aleksandar,1,m
Antonija,1,w
Alem,1,m
Antonovna,1,w
Aleph,1,m
Arzu,1,w
Alexandrovič,1,m
Asmin,1,w
Alican,1,m
Aurora,1,w
Alon,1,m
Awa-Maria,1,w
Amadean,1,m
Ayla,1,w
Amadeus,1,m
Ayumi,1,w
Amael,1,m
Açelya,1,w
Ambrose,1,m
Barbara,1,w
Amir,1,m
Batoul,1,w
Amon,1,m
Bella,1,w
Anatol,1,m
Bettina,1,w
Andreyevič,1,m
Blanca,1,w
Andriyevič,1,m
Brigitt,1,w
Ansgar,1,m
Béatrice,1,w
Antonio,1,m
Bảo,1,w
Antonius,1,m
Camille,1,w
Arian,1,m
Caroline,1,w
Arion,1,m
Cassandra,1,w
Aris,1,m
Catalina,1,w
Arno,1,m
Catherine,1,w
Aron,1,m
Celestina,1,w
Arturo,1,m
Chioma,1,w
Asqar,1,m
Christiane,1,w
Augustus,1,m
Christine,1,w
Avel,1,m
Cinzia,1,w
Aviel,1,m
Clarisse,1,w
Axel,1,m
Clementine,1,w
Basil,1,m
Coralie,1,w
Bela,1,m
Céline,1,w
Ben-Luca,1,m
Daliah,1,w
Bendix,1,m
Daniela,1,w
Benedikt,1,m
Danuta,1,w
Bennet,1,m
Daria,1,w
Benny,1,m
Delia,1,w
Berengar,1,m
Denisovna,1,w
Bernd,1,m
Deniz,1,w
Bernhard,1,m
Derya,1,w
Bert,1,m
Dilek,1,w
Bo,1,m
Dmitrijevna,1,w
Bob,1,m
Dominika,1,w
Bodo,1,m
Dora,1,w
Boris,1,m
Dorothea,1,w
Borislav,1,m
Dorothy,1,w
Boubacar,1,m
Dorothée,1,w
Caleb,1,m
Dragomirova,1,w
Carlos,1,m
Dzianisovna,1,w
Casper,1,m
Eileen,1,w
Cataldo,1,m
Eleni,1,w
Cem,1,m
Eleonora,1,w
Charles,1,m
Eleyda-Hope,1,w
Christoph,1,m
Elif,1,w
Christopher,1,m
Elin,1,w
Conradin,1,m
Elis,1,w
Cornelius,1,m
Elisa,1,w
Elisabetta,1,w
Dejan,1,m
Elisaveta,1,w
Dennis,1,m
Elise,1,w
Derek,1,m
Elli,1,w
Dilyan,1,m
Elly,1,w
Dimitrij,1,m
Ema,1,w
Dinh,1,m
Emelie,1,w
Djuliano,1,m
Emmelie,1,w
Dmitrievič,1,m
Esosa,1,w
Don,1,m
Estelle,1,w
Edmund,1,m
Esther,1,w
Edvinas,1,m
Etel,1,w
Efe,1,m
Eudokia,1,w
Eik,1,m
Evita,1,w
Einar,1,m
Felicia,1,w
Eliano,1,m
Felicitas,1,w
Elijah,1,m
Finnya,1,w
Eliyahu,1,m
Flor,1,w
Eljakim,1,m
Florence,1,w
Elmar,1,m
Francesca,1,w
Elyas,1,m
Frederika,1,w
Eric,1,m
Friederike,1,w
Erich,1,m
Gabriela,1,w
Erwin,1,m
Gabriella,1,w
Etienne,1,m
Gabrielle,1,w
Fabian,1,m
Gavriilia,1,w
Felipe,1,m
Gerda,1,w
Fernando,1,m
Gerlinde,1,w
Filipp,1,m
Gesa,1,w
Finley-Joel,1,m
Gisela,1,w
Finn-Aurel,1,m
Grace,1,w
Flavio,1,m
Gwyneth,1,w
Floris,1,m
Hania,1,w
Fox,1,m
Hellen,1,w
Franco,1,m
Hellena,1,w
Frederick,1,m
Heloisa,1,w
Fynn,1,m
Henrike,1,w
Fyodor,1,m
Holly,1,w
Félix,1,m
Hope,1,w
Gerd,1,m
Igorevna,1,w
Gift,1,m
Ilona,1,w
Gilg,1,m
Ina,1,w
Glen,1,m
Isa,1,w
Gordon,1,m
Isabell,1,w
Gregory,1,m
Isabelle,1,w
Grigorievich,1,m
Iva,1,w
Günther,1,m
Ivy,1,w
Gürsel,1,m
Jalia,1,w
Halid,1,m
Jane,1,w
Hannes,1,m
Jenniina,1,w
Hassan,1,m
Jessika,1,w
Heinz,1,m
Jette,1,w
Helge,1,m
Jil,1,w
Henri,1,m
Jolien,1,w
Henrik,1,m
Jolina,1,w
Hoang,1,m
Jorai,1,w
Hubert,1,m
Josefa,1,w
Hung,1,m
Josefine,1,w
Ilyas,1,m
Juliana,1,w
Imanuel,1,m
Juliane,1,w
Immanuel,1,m
Junis,1,w
Ioannis,1,m
Juri,1,w
Isaac,1,m
Jâle,1,w
Isaah,1,m
Kaitlyn,1,w
Ivanovič,1,m
Kanjiru,1,w
Ivar,1,m
Karin,1,w
Ives,1,m
Karina,1,w
Jack,1,m
Karla,1,w
Jalen,1,m
Kasia,1,w
James,1,m
Kasumi,1,w
Jamil,1,m
Katherine,1,w
Jamir,1,m
Kathleen,1,w
Janne,1,m
Kelly,1,w
Janosch,1,m
Klara,1,w
Jarick,1,m
Klea,1,w
Jasin,1,m
Kristina,1,w
Jean,1,m
Kyriaki,1,w
Jelle,1,m
Lamar,1,w
Jendrik,1,m
Latifah,1,w
Jens,1,m
Laureena,1,w
Jerome,1,m
Layna,1,w
Jesco,1,m
Leni,1,w
Jesus,1,m
Lenia,1,w
Jimmy,1,m
Lenya,1,w
Joaquin,1,m
Leoni,1,w
Joel-Leander,1,m
Leonie-Mia,1,w
John,1,m
Leony,1,w
Jonah,1,m
Leora,1,w
Joost,1,m
Letizia,1,w
Joren-Hinrich,1,m
Levke,1,w
Jorge,1,m
Lhamo,1,w
Joseph,1,m
Lia-Rose,1,w
Josué,1,m
Liana,1,w
Julian-Maxim,1,m
Liel,1,w
Julius,1,m
Lilla,1,w
Jun,1,m
Lilli,1,w
Kamil,1,m
Lillian,1,w
Kamran,1,m
Lina-Mia,1,w
Kasimir,1,m
Linda,1,w
Kavin,1,m
Linh,1,w
Kenan,1,m
Linn,1,w
Khalil,1,m
Linnea,1,w
Kian,1,m
Liora,1,w
Kimi,1,m
Livia,1,w
Kimunyi,1,m
Liyana,1,w
Klaus,1,m
Liza,1,w
Kolja,1,m
Lola,1,w
Kyan-Noah,1,m
Lorraine,1,w
Lars,1,m
Lotte,1,w
Lauri,1,m
Lou,1,w
Lean,1,m
Louisa,1,w
Leander,1,m
Louise,1,w
Len,1,m
Lovis,1,w
Lenn,1,m
Lucille,1,w
Lennox,1,m
Lucy,1,w
Leon-Elias,1,m
Ludivine,1,w
Leonas,1,m
Luna,1,w
Leonel,1,m
Lupita,1,w
Leonhard,1,m
Lyriel,1,w
Lev,1,m
Léonie,1,w
Levi,1,m
Madeleine,1,w
Lewin,1,m
Mae,1,w
León,1,m
Malea,1,w
Liam-Thien,1,m
Mali,1,w
Lias,1,m
Malia,1,w
Lincoln,1,m
Malina,1,w
Lino,1,m
Malou,1,w
Lion,1,m
Manal,1,w
Lionel,1,m
Manuela,1,w
Lou,1,m
Marei,1,w
Louie,1,m
Margitta,1,w
Luces,1,m
Mariam,1,w
Luciano,1,m
Marianna,1,w
Lucien,1,m
Marie-Luise,1,w
Luke,1,m
Marielle,1,w
Lulin,1,m
Mariola,1,w
Lyam,1,m
Marion,1,w
Lysander,1,m
Marita,1,w
Léo,1,m
Marlen,1,w
Léon,1,m
Marlies,1,w
Maarouf,1,m
Marta,1,w
Malcolm,1,m
Maryam,1,w
Malen,1,m
Masal,1,w
Manfred,1,m
Mathea,1,w
Marc,1,m
Mathilda,1,w
Marek,1,m
Mayuri,1,w
Maria,1,m
Melanie,1,w
Mario,1,m
Meliah,1,w
Marius,1,m
Meltem,1,w
Marjan,1,m
Merida,1,w
Mark,1,m
Meta,1,w
Marques,1,m
Mikhailovna,1,w
Massimo,1,m
Mildred,1,w
Mateo,1,m
Milena,1,w
Mathias,1,m
Millie,1,w
Matt,1,m
Minda,1,w
Matthäus,1,m
Mira,1,w
Matti,1,m
Mirabelle,1,w
Mattis,1,m
Miriam,1,w
Matvey,1,m
Mirja,1,w
Maurice,1,m
Mona,1,w
Mehmetov,1,m
Monica,1,w
Meir,1,m
Monika,1,w
Metin,1,m
Montana,1,w
Micah,1,m
Muriel-Marie,1,w
Michail,1,m
Muzhi,1,w
Michel,1,m
Nada,1,w
Miguel,1,m
Nadezhdova,1,w
Mika,1,m
Nadine,1,w
Mike,1,m
Nadja,1,w
Minos,1,m
Nahla,1,w
Morick,1,m
Nancy,1,w
Morten,1,m
Nashami-Jolie,1,w
Ndassi,1,m
Naz,1,w
Neeka,1,m
Nazdar,1,w
Nejat,1,m
Nela,1,w
Nelio,1,m
Nelly,1,w
Nelson,1,m
Nera,1,w
Niall,1,m
Netti,1,w
Nicholas,1,m
Ngọc,1,w
Nicklas,1,m
Nhi,1,w
Nicolás,1,m
Nicole,1,w
Nikita,1,m
Nika,1,w
Nikola,1,m
Nila,1,w
Nikolai,1,m
Nina,1,w
Noel,1,m
Nirmani,1,w
Nouridin,1,m
Noe,1,w
Nuri,1,m
Oda,1,w
Olaf,1,m
Olfat,1,w
Omondi,1,m
Opera,1,w
Orgil,1,m
Oxana,1,w
Otto,1,m
Pavlovna,1,w
Pablo,1,m
Penélope,1,w
Paolo,1,m
Petrovna,1,w
Pascal,1,m
Philina-Anastasia,1,w
Paul-Luka,1,m
Phoebe,1,w
Paweł,1,m
Poupon,1,w
Peer,1,m
Rana,1,w
Pierre-Antoine,1,m
Ravza-Nur,1,w
Quentin,1,m
Rebah,1,w
Rainer,1,m
Reetta,1,w
Renjun,1,m
Reina,1,w
Richard-Rudi,1,m
Renate,1,w
Rishan,1,m
Revekka,1,w
Robi,1,m
Ria,1,w
Robin,1,m
Ronja,1,w
Roderich,1,m
Rosa,1,w
Roman,1,m
Rosalia,1,w
Ruben,1,m
Rubenovna,1,w
Rudolf,1,m
Runa,1,w
Rüdiger,1,m
Ruth,1,w
Samu,1,m
Sabine,1,w
Sascha,1,m
Samira,1,w
Serafin,1,m
Sarita,1,w
Sergeevič,1,m
Sebahat,1,w
Serkan,1,m
Selenia,1,w
Seth,1,m
Seraphina,1,w
Shai,1,m
Shanti,1,w
Silino,1,m
Sihana,1,w
Siljan,1,m
Silvia,1,w
Svenson,1,m
Simone,1,w
Syruz,1,m
Sini,1,w
Taavi,1,m
Sofie,1,w
Tamilo,1,m
Sophie-Marie,1,w
Tamino,1,m
Sora,1,w
Tamme,1,m
Spencer,1,w
Tanaka,1,m
Stefania,1,w
Thaddäus,1,m
Stefanovna,1,w
Thilo,1,m
Stella,1,w
Thore,1,m
Susan,1,w
Thorsten,1,m
Svea-Amalia,1,w
Tilman,1,m
Svetlana,1,w
Timm,1,m
Svetoslavova,1,w
Timur,1,m
Swinda,1,w
Tom,1,m
Tabea,1,w
Tonboon,1,m
Taissia,1,w
Toni,1,m
Tara,1,w
Torgom,1,m
Temitope,1,w
Torin,1,m
Tenzin,1,w
Tuncay,1,m
Teresa,1,w
Usiel,1,m
Terézia,1,w
Uwe,1,m
Tessa,1,w
Vasil,1,m
Thao,1,w
Vasily,1,m
Thea,1,w
Victor,1,m
Thuy,1,w
Viktor,1,m
Tialda,1,w
Vito,1,m
Tianya,1,w
Việt,1,m
Timurovna,1,w
Vladislaw,1,m
Tova,1,w
Väinö,1,m
Tuulia,1,w
Waldemar,1,m
Tyra,1,w
Walter,1,m
Umechiyo,1,w
Ward,1,m
Valeria,1,w
Wend,1,m
Vanellopé,1,w
Willem,1,m
Vanessa,1,w
Willy,1,m
Vasilisa,1,w
Wladimir,1,m
Veronika,1,w
Wynne,1,m
Veselinova,1,w
Xaver,1,m
Viacheslavovna,1,w
Xingshen,1,m
Violetta,1,w
Yohan,1,m
Vivien,1,w
Yuji,1,m
Weiyue,1,w
Zhen,1,m
Wolke,1,w
Zo-Han,1,m
Xiaoou,1,w
Zvi,1,m
Yade,1,w
Đat,1,m
Yael,1,w
Đưc,1,m
Yamina,1,w
Đức,1,m
Yasmin,1,w
Ọňum,1,m
Yazmin,1,w
Ylva,1,w
Yuexi,1,w
Yulyana,1,w
Zehra,1,w
Zeinab,1,w
Zelma,1,w
Zepora,1,w
Zoey,1,w
Zuri,1,w
