vorname,anzahl,geschlecht
Marie,65,w
Sophie,57,w
Charlotte,49,w
Luise,41,w
Anna,40,w
Alexander,39,m
Emil,37,m
Paul,36,m
Jakob,35,m
Maximilian,35,m
Maria,29,w
Elias,28,m
Mila,28,w
David,27,m
Karl,27,m
Max,27,m
Elisabeth,26,w
Emilia,26,w
Luca,26,m
Mia,25,w
Anton,25,m
Felix,25,m
Leon,25,m
Mathilda,24,w
Jonathan,24,m
Louis,24,m
Theo,24,m
Anh,23,w
Emma,23,w
Ida,23,w
Finn,23,m
Lena,22,w
Oskar,22,m
Theodor,22,m
Clara,20,w
Ella,20,w
Johanna,20,w
Sophia,20,w
Leo,20,m
Noah,20,m
Ali,19,m
Benjamin,19,m
Luis,19,m
Tim,19,m
Valentin,19,m
Elif,18,w
Greta,18,w
Carl,18,m
Henry,18,m
Johannes,18,m
Arthur,17,m
Daniel,17,m
Gabriel,17,m
Jonas,17,m
Anh,16,m
Kevin,16,m
Levi,16,m
Lukas,16,m
Milan,16,m
Lina,15,w
Mira,15,w
Zoe,15,w
Christian,15,m
Alma,14,w
Frida,14,w
Helena,14,w
Martha,14,w
Paula,14,w
Edgar,14,m
Julian,14,m
Julius,14,m
Moritz,14,m
Amelie,13,w
Elisa,13,w
Hanna,13,w
Hannah,13,w
Marlene,13,w
Matilda,13,w
Maya,13,w
Mina,13,w
Rosa,13,w
Jan,13,m
Mika,13,m
Richard,13,m
Antonia,12,w
Emily,12,w
Helene,12,w
Josephine,12,w
Katharina,12,w
Laura,12,w
Lea,12,w
Ben,12,m
Friedrich,12,m
Konstantin,12,m
Muhammed,12,m
Niklas,12,m
Peter,12,m
Vincent,12,m
Ava,11,w
Elsa,11,w
Frieda,11,w
Lara,11,w
Luisa,11,w
Tilda,11,w
Victoria,11,w
August,11,m
Bruno,11,m
Caspar,11,m
Henri,11,m
Lasse,11,m
Levin,11,m
Liam,11,m
Mattis,11,m
Maxim,11,m
Minh,11,m
Mustafa,11,m
Philipp,11,m
Samuel,11,m
Toni,11,m
Ömer,11,m
Alice,10,w
Ela,10,w
Julia,10,w
Lucia,10,w
Nur,10,w
Ruth,10,w
Bao,10,m
Franz,10,m
Hugo,10,m
Johann,10,m
Joshua,10,m
Linus,10,m
Nam,10,m
Ole,10,m
Otto,10,m
Alexandra,9,w
Amalia,9,w
An,9,w
Eva,9,w
