vorname,anzahl,geschlecht
Sophie,57,w
Marie,52,w
Emilia,36,w
Alexander,32,m
Elias,30,m
Ali,28,m
Maximilian,27,m
Charlotte,26,w
Yusuf,25,m
Leon,24,m
Noah,23,m
Emma,22,w
Mia,22,w
Felix,21,m
Hamza,21,m
David,20,m
Paul,20,m
Anna,19,w
Elif,19,w
Maria,19,w
Ben,19,m
Emil,19,m
Jonas,19,m
Emily,18,w
Lea,18,w
Lina,18,w
Sophia,18,w
Moritz,18,m
Hanna,17,w
Lilly,17,w
Luca,17,m
Max,17,m
Oskar,17,m
Ella,16,w
Laura,16,w
Amir,16,m
Leonard,16,m
Louis,16,m
Milan,16,m
Muhammed,16,m
Mila,15,w
Mira,15,w
Adam,15,m
Jonathan,15,m
Mathilda,14,w
Anton,14,m
Levi,14,m
Lukas,14,m
Amelie,13,w
Lena,13,w
Leonie,13,w
Nur,13,w
Zeynep,13,w
Emir,13,m
Jakob,13,m
Karl,13,m
Hannah,12,w
Johanna,12,w
Luisa,12,w
Mariam,12,w
Can,12,m
Daniel,12,m
Jan,12,m
Liam,12,m
Luis,12,m
Malik,12,m
Mohammad,12,m
Theo,12,m
Tim,12,m
Ela,11,w
Helena,11,w
Valentina,11,w
Alessio,11,m
Youssef,11,m
Ömer,11,m
Lara,10,w
Lia,10,w
Luise,10,w
Maya,10,w
Hassan,10,m
Linus,10,m
Mustafa,10,m
Vincent,10,m
Clara,9,w
Elisabeth,9,w
Josephine,9,w
Malak,9,w
Medina,9,w
Melina,9,w
Mina,9,w
Carl,9,m
Gabriel,9,m
Hussein,9,m
Niklas,9,m
Theodor,9,m
Alina,8,w
Amelia,8,w
Eva,8,w
Hira,8,w
Jasmin,8,w
Katharina,8,w
Leni,8,w
Marlene,8,w
Nisa,8,w
Ahmad,8,m
Arthur,8,m
Emilio,8,m
Fabian,8,m
Joel,8,m
Johann,8,m
Julian,8,m
Leo,8,m
Lucas,8,m
Matteo,8,m
Mohamed,8,m
Robert,8,m
Frida,7,w
Ida,7,w
Jana,7,w
Julia,7,w
Juna,7,w
Luna,7,w
Sarah,7,w
Vanessa,7,w
Aaron,7,m
Adrian,7,m
Albert,7,m
Andreas,7,m
Benjamin,7,m
Enes,7,m
Erik,7,m
Finn,7,m
Jasper,7,m
Kaan,7,m
Levin,7,m
Martin,7,m
Mehmet,7,m
Miran,7,m
Omar,7,m
Toprak,7,m
