vorname,anzahl,geschlecht,position
Marie,35,w,2
Emilia,34,w,1
Sophie,31,w,2
Oskar,31,m,1
Ben,25,m,1
Emma,24,w,1
Mia,24,w,1
Alexander,23,m,2
Karl,21,m,1
Maximilian,21,m,1
Charlotte,20,w,1
Jonas,20,m,1
Leon,20,m,1
Paul,20,m,1
Alexander,19,m,1
Elias,19,m,1
Finn,19,m,1
Lina,18,w,1
Mila,18,w,1
Emil,18,m,1
Felix,18,m,1
Charlotte,17,w,2
Greta,17,w,1
Johanna,17,w,1
Paul,16,m,2
Pauline,16,w,1
Emily,15,w,1
Sophia,15,w,1
Anton,15,m,1
Louis,15,m,1
Luca,15,m,1
Leni,14,w,1
Maria,13,w,2
Amelie,13,w,1
Hannah,13,w,1
Mathilda,13,w,1
Milan,13,m,1
Nele,13,w,1
Tim,13,m,1
Laura,12,w,1
Max,12,m,1
Lea,12,w,1
Moritz,12,m,1
Lena,12,w,1
Luna,12,w,1
Joel,11,m,2
Maximilian,11,m,2
Jakob,11,m,1
Julian,11,m,1
Ella,11,w,1
Leo,11,m,1
Frieda,11,w,1
Leonard,11,m,1
Leonie,11,w,1
Lukas,11,m,1
Luisa,11,w,1
Maxim,11,m,1
Maria,11,w,1
Theo,11,m,1
Elias,10,m,2
Luise,10,w,2
Friedrich,10,m,2
Marie,10,w,1
Adam,10,m,1
Stella,10,w,1
Erik,10,m,1
Fynn,10,m,1
Emilia,9,w,2
Luca,9,m,2
Anna,9,w,1
Maya,9,w,1
Bruno,9,m,1
Liam,9,m,1
Alina,8,w,1
Hanna,8,w,1
Adrian,8,m,1
Julia,8,w,1
Benjamin,8,m,1
Lisa,8,w,1
Damian,8,m,1
Lotta,8,w,1
Daniel,8,m,1
Sophie,8,w,1
Emilio,8,m,1
Valentina,8,w,1
Jonathan,8,m,1
Noah,8,m,1
Ole,8,m,1
Philipp,8,m,1
Theodor,8,m,1
Anna,7,w,2
Anton,7,m,2
Johanna,7,w,2
Emil,7,m,2
Luisa,7,w,2
Karl,7,m,2
Noah,7,m,2
Peter,7,m,2
Antonia,7,w,1
Elena,7,w,1
Fiona,7,w,1
Jasmin,7,w,1
Juna,7,w,1
David,7,m,1
Lara,7,w,1
Edgar,7,m,1
Maja,7,w,1
Friedrich,7,m,1
Nina,7,w,1
Henry,7,m,1
Nora,7,w,1
Lennard,7,m,1
Paula,7,w,1
Luis,7,m,1
Pia,7,w,1
Zoe,7,w,1
Grace,6,w,2
Isabelle,6,w,2
Josephine,6,w,2
Felix,6,m,2
Rosalie,6,w,2
Valentina,6,w,2
Arthur,6,m,1
Carl,6,m,1
Anastasia,6,w,1
Fabian,6,m,1
Clara,6,w,1
Hannes,6,m,1
Frida,6,w,1
Julius,6,m,1
Ida,6,w,1
Lennox,6,m,1
Isabella,6,w,1
Linus,6,m,1
Josephine,6,w,1
Lio,6,m,1
Klara,6,w,1
Lucas,6,m,1
Luise,6,w,1
Mateo,6,m,1
Marlene,6,w,1
Matheo,6,m,1
Victoria,6,w,1
Mohammad,6,m,1
Niklas,6,m,1
Oliver,6,m,1
Maria,5,w,3
Anh,5,m,2
Louis,5,m,2
Fabienne,5,w,2
Michael,5,m,2
Niklas,5,m,2
Oskar,5,m,2
Theodor,5,m,2
Alice,5,w,1
Alma,5,w,1
Amelia,5,w,1
Alex,5,m,1
Daria,5,w,1
Fritz,5,m,1
Elisa,5,w,1
Jason,5,m,1
Eva,5,w,1
John,5,m,1
Helena,5,w,1
Kilian,5,m,1
Isabell,5,w,1
Levi,5,m,1
Jolina,5,w,1
Lias,5,m,1
Lilly,5,w,1
Mats,5,m,1
Louisa,5,w,1
Matteo,5,m,1
Lucy,5,w,1
Mattis,5,m,1
Mara,5,w,1
Mika,5,m,1
Melina,5,w,1
Omar,5,m,1
Merle,5,w,1
Pepe,5,m,1
Mina,5,w,1
Timo,5,m,1
Tilda,5,w,1
Vanessa,5,w,1
Sophie,4,w,3
Elisa,4,w,2
Ida,4,w,2
Isabella,4,w,2
Maja,4,w,2
Arthur,4,m,2
Martha,4,w,2
Benjamin,4,m,2
Constantin,4,m,2
Dean,4,m,2
Frederik,4,m,2
Luis,4,m,2
Maxim,4,m,2
Noel,4,m,2
Amir,4,m,1
Armin,4,m,1
Amy,4,w,1
Benedikt,4,m,1
Amélie,4,w,1
Christian,4,m,1
Angela,4,w,1
Frederik,4,m,1
Dilara,4,w,1
Gabriel,4,m,1
Edda,4,w,1
Gregor,4,m,1
Elisabeth,4,w,1
Henri,4,m,1
Elli,4,w,1
Ibrahim,4,m,1
Finja,4,w,1
Jan,4,m,1
Hedi,4,w,1
Jasper,4,m,1
Leyla,4,w,1
Jim,4,m,1
Lotte,4,w,1
Konstantin,4,m,1
Malina,4,w,1
Luke,4,m,1
Marla,4,w,1
Mark,4,m,1
Martha,4,w,1
Milo,4,m,1
Melissa,4,w,1
Nils,4,m,1
Milena,4,w,1
Piet,4,m,1
Miriam,4,w,1
Raphael,4,m,1
Olivia,4,w,1
Sebastian,4,m,1
Paulina,4,w,1
Till,4,m,1
Romy,4,w,1
Tobias,4,m,1
Rosa,4,w,1
Tom,4,m,1
Selma,4,w,1
Valentin,4,m,1
Zoey,4,w,1
Vincent,4,m,1
Đức,4,m,1
Martin,3,m,3
Alicia,3,w,2
An,3,w,2
Anni,3,w,2
Elise,3,w,2
Frieda,3,w,2
Jane,3,w,2
Jasmin,3,w,2
Ali,3,m,2
Karlotta,3,w,2
Ben,3,m,2
Katharina,3,w,2
Bernd,3,m,2
Lena,3,w,2
David,3,m,2
Leonie,3,w,2
Eduard,3,m,2
Lucia,3,w,2
Fritz,3,m,2
Magdalena,3,w,2
Fynn,3,m,2
Marlene,3,w,2
Gustav,3,m,2
Nhi,3,w,2
Henry,3,m,2
Olivia,3,w,2
Jay,3,m,2
Sophia,3,w,2
Jens,3,m,2
Josef,3,m,2
Jürgen,3,m,2
Kurt,3,m,2
Levi,3,m,2
Linus,3,m,2
Martin,3,m,2
Matthias,3,m,2
Minh,3,m,2
Pascal,3,m,2
Samir,3,m,2
Sebastian,3,m,2
Ulrich,3,m,2
Valentin,3,m,2
Adelina,3,w,1
Alessia,3,w,1
Ahmad,3,m,1
Alexandra,3,w,1
Ali,3,m,1
Amilia,3,w,1
Azad,3,m,1
Amina,3,w,1
Bela,3,m,1
Annabell,3,w,1
Bennet,3,m,1
Anouk,3,w,1
Björn,3,m,1
Ava,3,w,1
Carlos,3,m,1
Bảo,3,w,1
Chris,3,m,1
Elina,3,w,1
Clemens,3,m,1
Elise,3,w,1
Dean,3,m,1
Emely,3,w,1
Eddy,3,m,1
Emmi,3,w,1
Emilian,3,m,1
Enie,3,w,1
Emir,3,m,1
Evelyn,3,w,1
Enno,3,m,1
Fatma,3,w,1
Eric,3,m,1
Helene,3,w,1
Finley,3,m,1
Henriette,3,w,1
Finnlay,3,m,1
Hermine,3,w,1
Florian,3,m,1
Isabelle,3,w,1
Franz,3,m,1
Jana,3,w,1
Helge,3,m,1
Karla,3,w,1
Henrik,3,m,1
Käthe,3,w,1
Hugo,3,m,1
Lilith,3,w,1
Jamal,3,m,1
Lore,3,w,1
Jamie,3,m,1
Mariella,3,w,1
Jannis,3,m,1
Mia-Sophie,3,w,1
Janosch,3,m,1
Milla,3,w,1
Johannes,3,m,1
Mira,3,w,1
Kai,3,m,1
Rosalie,3,w,1
Lev,3,m,1
Sara,3,w,1
Marc,3,m,1
Sham,3,w,1
Marek,3,m,1
Sofia,3,w,1
Michael,3,m,1
Viktoria,3,w,1
Michel,3,m,1
Muhammad,3,m,1
Nathan,3,m,1
Nico,3,m,1
Oscar,3,m,1
Otto,3,m,1
Samir,3,m,1
Simon,3,m,1
Timur,3,m,1
Tony,3,m,1
Tyler,3,m,1
Wilhelm,3,m,1
An,2,m,3
Günther,2,m,3
Anna,2,w,3
Lothar,2,m,3
Linh,2,w,3
Minh,2,m,3
Luana,2,w,3
Luise,2,w,3
Nhiên,2,w,3
Alina,2,w,2
Amanda,2,w,2
Anita,2,w,2
Anne,2,w,2
Antonia,2,w,2
Aurelia,2,w,2
Aurora,2,w,2
Ava,2,w,2
Barbara,2,w,2
Caroline,2,w,2
Chi,2,w,2
Christina,2,w,2
Cornelia,2,w,2
Dorothea,2,w,2
Alfred,2,m,2
Edith,2,w,2
André,2,m,2
Elaine,2,w,2
Aras,2,m,2
Elsa,2,w,2
August,2,m,2
Emilie,2,w,2
Aurel,2,m,2
Emma,2,w,2
Christian,2,m,2
Fiona,2,w,2
Damian,2,m,2
Flora,2,w,2
Daniel,2,m,2
Friederike,2,w,2
Dylan,2,m,2
Hedi,2,w,2
Edgar,2,m,2
Joleen,2,w,2
Elyas,2,m,2
Jolie,2,w,2
Enno,2,m,2
Juna,2,w,2
Enrico,2,m,2
Lara,2,w,2
Finn,2,m,2
Lilli,2,w,2
Florian,2,m,2
Lina,2,w,2
Frank,2,m,2
Louana,2,w,2
Gabriel,2,m,2
Louise,2,w,2
Hannes,2,m,2
Lucie,2,w,2
Henri,2,m,2
Luna,2,w,2
Jake,2,m,2
Malin,2,w,2
Jan,2,m,2
Marianne,2,w,2
Jasper,2,m,2
Matilda,2,w,2
Johannes,2,m,2
May,2,w,2
Jonas,2,m,2
Melanie,2,w,2
Jordan,2,m,2
Milea,2,w,2
Julian,2,m,2
Minna,2,w,2
Julius,2,m,2
Monika,2,w,2
Klaus,2,m,2
Myuzekyaeva,2,w,2
Leander,2,m,2
Nadine,2,w,2
Lennard,2,m,2
Pauline,2,w,2
Levin,2,m,2
Rose,2,w,2
Ludwig,2,m,2
Saphira,2,w,2
Magnus,2,m,2
Summer,2,w,2
Marko,2,m,2
Tabea,2,w,2
Matei,2,m,2
Vanessa,2,w,2
Mathias,2,m,2
Victoria,2,w,2
Matteo,2,m,2
Max,2,m,2
Miguel,2,m,2
Milan,2,m,2
Moritz,2,m,2
Nico,2,m,2
Nils,2,m,2
Oliver,2,m,2
Patrick,2,m,2
Pierre,2,m,2
Ragnar,2,m,2
Richard,2,m,2
Robert,2,m,2
Rudi,2,m,2
Samuel,2,m,2
Sascha,2,m,2
Stefan,2,m,2
Steven,2,m,2
Volker,2,m,2
Wilhelm,2,m,2
Alea,2,w,1
Aleksandra,2,w,1
Alicia,2,w,1
Aliya,2,w,1
Alva,2,w,1
Amalia,2,w,1
Amanda,2,w,1
Amira,2,w,1
Anastazja,2,w,1
Angelina,2,w,1
Annabel,2,w,1
Anni,2,w,1
Aaron,2,m,1
Annika,2,w,1
Abdullah,2,m,1
Ashley,2,w,1
Abdulrahman,2,m,1
Aurora,2,w,1
Ahmed,2,m,1
Carla,2,w,1
Aidan,2,m,1
Carolina,2,w,1
Albert,2,m,1
Cataleya,2,w,1
Alejandro,2,m,1
Cecilia,2,w,1
Aleksander,2,m,1
Celina,2,w,1
Anas,2,m,1
Chiara,2,w,1
Andy,2,m,1
Claire,2,w,1
Angelo,2,m,1
Darina,2,w,1
Ansgar,2,m,1
Elif,2,w,1
Antonio,2,m,1
Elsa,2,w,1
Benno,2,m,1
Emelie,2,w,1
Bilal,2,m,1
Emili,2,w,1
Camilo,2,m,1
Enesa,2,w,1
Colin,2,m,1
Erika,2,w,1
Collin,2,m,1
Evangeline,2,w,1
Conner,2,m,1
Fatima,2,w,1
Constantin,2,m,1
Freda,2,w,1
Cristiano,2,m,1
Hailey,2,w,1
Damien,2,m,1
Isabel,2,w,1
Darian,2,m,1
Jamila,2,w,1
Darius,2,m,1
Jessica,2,w,1
Deniz,2,m,1
Joleen,2,w,1
Diar,2,m,1
Kate,2,w,1
Dylan,2,m,1
Katelyn,2,w,1
Eddie,2,m,1
Kimberly,2,w,1
Edward,2,m,1
Laila,2,w,1
Feliks,2,m,1
Larissa,2,w,1
Fridolin,2,m,1
Leah,2,w,1
Gideon,2,m,1
Lenja,2,w,1
Hadi,2,m,1
Levi,2,w,1
Henning,2,m,1
Lia,2,w,1
Ilja,2,m,1
Lilli,2,w,1
Iwan,2,m,1
Linnea,2,w,1
Jannick,2,m,1
Lisa-Marie,2,w,1
Jari,2,m,1
Liya,2,w,1
Jaro,2,m,1
Louise,2,w,1
Jawad,2,m,1
Lucia,2,w,1
Joel,2,m,1
Mahya,2,w,1
Johann,2,m,1
Maia,2,w,1
Johnny,2,m,1
Margarete,2,w,1
Jonte,2,m,1
Mariam,2,w,1
Jordan,2,m,1
Matilda,2,w,1
Joris,2,m,1
Maylin,2,w,1
Joschua,2,m,1
Medina,2,w,1
Joshua,2,m,1
Melek,2,w,1
Julio,2,m,1
Mia-Marie,2,w,1
Juri,2,m,1
Milana,2,w,1
Justus,2,m,1
Miray,2,w,1
Kemal,2,m,1
Natalie,2,w,1
Kirill,2,m,1
Neyla,2,w,1
Konrad,2,m,1
Nikita,2,w,1
Laurin,2,m,1
Noa,2,w,1
Leander,2,m,1
Rebecca,2,w,1
Leandro,2,m,1
Ronja,2,w,1
Lenni,2,m,1
Sabrina,2,w,1
Lian,2,m,1
Samantha,2,w,1
Lion,2,m,1
Sarah,2,w,1
Lionel,2,m,1
Skadi,2,w,1
Lorik,2,m,1
Soey,2,w,1
Ludwig,2,m,1
Sonja,2,w,1
Luka,2,m,1
Tala,2,w,1
Malik,2,m,1
Talia,2,w,1
Marcel,2,m,1
Talina,2,w,1
Marlon,2,m,1
Tamara,2,w,1
Marten,2,m,1
Tamina,2,w,1
Matti,2,m,1
Tara,2,w,1
Nguyên,2,m,1
Tessa,2,w,1
Nick,2,m,1
Thalea,2,w,1
Nikas,2,m,1
Thea,2,w,1
Nikita,2,m,1
Theresa,2,w,1
Nikola,2,m,1
Veronika,2,w,1
Noel,2,m,1
Yara,2,w,1
Pascal,2,m,1
Yuna,2,w,1
Rafael,2,m,1
Zara,2,w,1
Rayan,2,m,1
Zoé,2,w,1
Richard,2,m,1
Roman,2,m,1
Ruben,2,m,1
Ryan,2,m,1
Samuel,2,m,1
Sascha,2,m,1
Silas,2,m,1
Teim,2,m,1
Thadeus,2,m,1
Thomas,2,m,1
Thore,2,m,1
Tian,2,m,1
Tommy,2,m,1
Tristan,2,m,1
Willi,2,m,1
William,2,m,1
Yannick,2,m,1
Yannis,2,m,1
Yasin,2,m,1
Youssef,2,m,1
Marri,1,m,5
Asaad,1,m,4
Aika,1,w,4
Charlie,1,m,4
Edith,1,w,4
Felipe,1,m,4
Laaro,1,w,4
Frank,1,m,4
Marlis,1,w,4
Pierre,1,m,4
Yan,1,w,4
Yohana,1,w,4
Albert,1,m,3
Alec,1,m,3
Alexander,1,m,3
Adele,1,w,3
Ali,1,m,3
Alina,1,w,3
Artur,1,m,3
An,1,w,3
Ayhan,1,m,3
Andrea,1,w,3
Bao,1,m,3
Angelique,1,w,3
Bianko,1,m,3
Anh,1,w,3
Björn,1,m,3
Annabelle,1,w,3
Bruno,1,m,3
Annette,1,w,3
Butt,1,m,3
Berfin,1,w,3
Can,1,m,3
Bernadette,1,w,3
Christoph,1,m,3
Carly,1,w,3
Conner,1,m,3
Carmen,1,w,3
Constantin,1,m,3
Chi,1,w,3
Cuong,1,m,3
Christa,1,w,3
Daniel,1,m,3
Ciana,1,w,3
Diego,1,m,3
Dora,1,w,3
Dieter,1,m,3
Ebob,1,w,3
Drago,1,m,3
Edith,1,w,3
Duc,1,m,3
Editha,1,w,3
Dũng,1,m,3
Erika,1,w,3
Eberhard,1,m,3
Erna,1,w,3
Eileen,1,m,3
Eveline,1,w,3
Erhard,1,m,3
Flores,1,w,3
Erich,1,m,3
Frances,1,w,3
Ernst,1,m,3
Gabriele,1,w,3
Ferhat,1,m,3
Gertraude,1,w,3
Frank,1,m,3
Gertrud,1,w,3
Georg,1,m,3
Gudrun,1,w,3
Gordon,1,m,3
Heide,1,w,3
Göran,1,m,3
Ingeli,1,w,3
Günter,1,m,3
Irmeli,1,w,3
Henning,1,m,3
Isa,1,w,3
Henri,1,m,3
Jana,1,w,3
James,1,m,3
Jessica,1,w,3
Joachim,1,m,3
Joann,1,w,3
Joelle,1,m,3
Johanna,1,w,3
Johan,1,m,3
Katharina,1,w,3
Johnson,1,m,3
Klara,1,w,3
Junior,1,m,3
Kristina,1,w,3
Jürgen,1,m,3
Käthe,1,w,3
