vorname,anzahl,geschlecht,position
Marie,76,w,2
Sophie,58,w,2
Alexander,45,m,2
Emilia,42,w,1
Charlotte,40,w,1
Ben,39,m,1
Oskar,39,m,1
Anton,38,m,1
Emil,36,m,1
Felix,35,m,1
Ella,34,w,1
Karl,32,m,1
Leon,32,m,1
Paul,32,m,1
Mia,31,w,1
Mila,31,w,1
Jonas,30,m,1
Lukas,30,m,1
Paul,28,m,2
Emma,28,w,1
Henry,28,m,1
Theodor,28,m,1
Marie,26,w,1
Max,26,m,1
Maximilian,26,m,1
Anna,24,w,1
Emily,24,w,1
Greta,24,w,1
Luise,24,w,1
Paula,24,w,1
Noah,24,m,1
Theo,24,m,1
Luise,23,w,2
Maria,23,w,2
Hannah,23,w,1
Maja,23,w,1
Liam,23,m,1
Milan,23,m,1
Amelie,22,w,1
Leni,22,w,1
Finn,22,m,1
Maximilian,21,m,2
Charlotte,21,w,2
Isabella,21,w,1
Johanna,21,w,1
Lina,21,w,1
Elisabeth,20,w,2
Jakob,20,m,1
Hanna,20,w,1
Jonathan,20,m,1
Nele,20,w,1
Julian,20,m,1
Lara,19,w,1
Erik,19,m,1
Pauline,19,w,1
Louis,19,m,1
Alma,18,w,1
Alexander,18,m,1
Clara,18,w,1
Leo,18,m,1
Lea,18,w,1
Leonard,18,m,1
Nora,18,w,1
Tim,18,m,1
Laura,17,w,1
Mika,17,m,1
Lotta,17,w,1
Moritz,17,m,1
Niklas,17,m,1
Frieda,16,w,1
Julia,16,w,1
Elias,16,m,1
Mara,16,w,1
Luca,16,m,1
Sophia,16,w,1
Till,16,m,1
Vincent,16,m,1
Anton,15,m,2
Emilia,15,w,2
Helena,15,w,1
Lena,15,w,1
Arthur,15,m,1
Leonie,15,w,1
Friedrich,15,m,1
Luisa,15,w,1
Marlene,15,w,1
Martha,15,w,1
Tilda,15,w,1
Friedrich,14,m,2
Louis,14,m,2
Henri,14,m,1
Raphael,14,m,1
Luna,14,w,1
Karl,13,m,2
Linus,13,m,1
Nils,13,m,1
Ole,13,m,1
Ida,13,w,1
Johanna,12,w,2
Adrian,12,m,1
