vorname,anzahl,geschlecht,position
Ali,21,m,1
Elias,21,m,1
Adam,19,m,1
Leon,18,m,1
Sophie,17,w,2
Marie,16,w,2
Mila,16,w,1
Maria,15,w,2
Ella,15,w,1
Charlotte,14,w,1
Mia,14,w,1
Milan,14,m,1
Alexander,13,m,2
Emilia,13,w,1
Liam,13,m,1
Lina,13,w,1
Miran,13,m,1
Noah,13,m,1
Ali,12,m,2
Liya,12,w,1
Maria,12,w,1
Mohamad,12,m,1
Emma,11,w,1
Mohammad,11,m,1
Mira,11,w,1
Nisa,11,w,1
Sara,11,w,1
Ahmad,10,m,1
Alexander,10,m,1
Amir,10,m,1
Anna,10,w,1
Louis,10,m,1
Elisa,10,w,1
Muhammed,10,m,1
Hannah,10,w,1
Yasin,10,m,1
Lara,10,w,1
Leonie,10,w,1
Lia,10,w,1
Ben,9,m,1
Finn,9,m,1
Ilyas,9,m,1
Alma,9,w,1
Joshua,9,m,1
Ela,9,w,1
Maya,9,w,1
Meryem,9,w,1
Sofia,9,w,1
Valentina,8,w,2
Anton,8,m,1
Aras,8,m,1
Daniel,8,m,1
Hamza,8,m,1
Elif,8,w,1
Leo,8,m,1
Lio,8,m,1
Malik,8,m,1
Moritz,8,m,1
Paul,8,m,1
David,7,m,2
Emil,7,m,2
Paul,7,m,2
Luisa,7,w,2
Clara,7,w,1
Elin,7,w,1
Fatima,7,w,1
Hanna,7,w,1
Klara,7,w,1
Adrian,7,m,1
Lena,7,w,1
David,7,m,1
Malina,7,w,1
Emil,7,m,1
Mara,7,w,1
Fynn,7,m,1
Mariam,7,w,1
Hussein,7,m,1
Marie,7,w,1
Karl,7,m,1
Melina,7,w,1
Matteo,7,m,1
Zeynep,7,w,1
Maximilian,7,m,1
Mika,7,m,1
Milo,7,m,1
Mohammed,7,m,1
Omar,7,m,1
Theo,7,m,1
Yunus,7,m,1
Joel,6,m,2
Elena,6,w,2
Liam,6,m,2
Elisabeth,6,w,2
Louis,6,m,2
Max,6,m,2
Valentin,6,m,2
Azra,6,w,1
Elena,6,w,1
Finja,6,w,1
Laura,6,w,1
Lilly,6,w,1
Ronja,6,w,1
Stella,6,w,1
Baran,6,m,1
Yasmin,6,w,1
Benjamin,6,m,1
Emir,6,m,1
Felix,6,m,1
Gabriel,6,m,1
Hassan,6,m,1
Henry,6,m,1
Ibrahim,6,m,1
Issa,6,m,1
Jonathan,6,m,1
Julian,6,m,1
Leonard,6,m,1
Levi,6,m,1
Linus,6,m,1
Lukas,6,m,1
Matheo,6,m,1
Oskar,6,m,1
Charlotte,5,w,2
Johanna,5,w,2
Katharina,5,w,2
Elias,5,m,2
Nur,5,w,2
Julius,5,m,2
Sofia,5,w,2
Peter,5,m,2
Antonia,5,w,1
Ayla,5,w,1
Emily,5,w,1
Jolina,5,w,1
Julia,5,w,1
Lea,5,w,1
Liana,5,w,1
Livia,5,w,1
Marlene,5,w,1
Nora,5,w,1
Olivia,5,w,1
Pauline,5,w,1
Sarah,5,w,1
Sena,5,w,1
Sophia,5,w,1
Zoey,5,w,1
Bruno,5,m,1
Deniz,5,m,1
Eymen,5,m,1
Jakob,5,m,1
Jonas,5,m,1
Karim,5,m,1
Lias,5,m,1
Luca,5,m,1
Lucas,5,m,1
Luis,5,m,1
Mehmet,5,m,1
Musa,5,m,1
Niklas,5,m,1
Vincent,5,m,1
Ömer,5,m,1
Sophie,4,w,3
Alina,4,w,2
Leander,4,m,2
Ela,4,w,2
Leon,4,m,2
Emilia,4,w,2
