vorname,anzahl,geschlecht,position
Sophie,37,w,2
Marie,31,w,2
Mia,29,w,1
Noah,24,m,1
Hannah,22,w,1
Maria,21,w,2
Leon,21,m,1
Paul,21,m,1
Emilia,20,w,1
Emil,20,m,1
Theo,19,m,1
Emma,18,w,1
Jonas,18,m,1
Liam,18,m,1
Ida,17,w,1
Ben,17,m,1
Theodor,17,m,1
Paul,16,m,2
Alexander,15,m,2
Emilia,15,w,2
Charlotte,15,w,1
Leo,15,m,1
Oskar,15,m,1
Emil,14,m,2
Maximilian,14,m,2
Charlotte,14,w,2
Ella,14,w,1
Adam,13,m,1
Alexander,13,m,1
Ali,13,m,1
Anton,13,m,1
Felix,13,m,1
Karl,13,m,1
Lio,13,m,1
Clara,12,w,1
Lena,12,w,1
Lina,12,w,1
Mila,12,w,1
Arthur,12,m,1
Elias,12,m,1
Leonard,12,m,1
Maximilian,12,m,1
Mika,12,m,1
Elias,11,m,2
Karl,11,m,2
Sophia,11,w,2
Alina,11,w,1
Ava,11,w,1
Hanna,11,w,1
Laura,11,w,1
Leni,11,w,1
Leonie,11,w,1
Maya,11,w,1
Rosa,11,w,1
Henry,11,m,1
Lukas,11,m,1
Milan,11,m,1
Milo,11,m,1
Jonathan,10,m,2
Oskar,10,m,2
Anna,10,w,1
Emily,10,w,1
Johanna,10,w,1
Lea,10,w,1
Mara,10,w,1
Ronja,10,w,1
Jannis,10,m,1
Levi,10,m,1
Luca,10,m,1
Aurora,9,w,2
Friedrich,9,m,2
Lia,9,w,1
Lilly,9,w,1
Maria,9,w,1
Mina,9,w,1
Mira,9,w,1
Adrian,9,m,1
Sofia,9,w,1
Finn,9,m,1
Jakob,9,m,1
Luis,9,m,1
Maxim,9,m,1
Johanna,8,w,2
Lou,8,w,2
Michael,8,m,2
Valentin,8,m,2
Alma,8,w,1
Helene,8,w,1
Karla,8,w,1
Marie,8,w,1
Bruno,8,m,1
Melissa,8,w,1
Konstantin,8,m,1
Merle,8,w,1
Linus,8,m,1
Nora,8,w,1
Louis,8,m,1
Ruby,8,w,1
Elisabeth,7,w,2
Louise,7,w,2
Felix,7,m,2
Malou,7,w,2
Henry,7,m,2
Joel,7,m,2
Leon,7,m,2
Leonard,7,m,2
Erik,7,m,1
Amalia,7,w,1
Fritz,7,m,1
Amelie,7,w,1
Henri,7,m,1
Elisabeth,7,w,1
Lian,7,m,1
Frida,7,w,1
Luka,7,m,1
Leyla,7,w,1
Max,7,m,1
Lotta,7,w,1
Muhammed,7,m,1
Marlene,7,w,1
Tim,7,m,1
Martha,7,w,1
Mathilda,7,w,1
Sophia,7,w,1
Tilda,7,w,1
Aurelia,6,w,2
Carlotta,6,w,2
Helene,6,w,2
Luise,6,w,2
Johannes,6,m,2
Ahmad,6,m,1
Alessio,6,m,1
Amir,6,m,1
Johann,6,m,1
Amelia,6,w,1
Julian,6,m,1
Elena,6,w,1
Malik,6,m,1
Finja,6,w,1
Mohamed,6,m,1
Isabella,6,w,1
Moritz,6,m,1
Lara,6,w,1
Ole,6,m,1
Liya,6,w,1
Omar,6,m,1
Malia,6,w,1
Valentin,6,m,1
Malina,6,w,1
Viktor,6,m,1
Matilda,6,w,1
Paula,6,w,1
Selma,6,w,1
Valentina,6,w,1
Zoe,6,w,1
Anastasia,5,w,2
Anton,5,m,2
Antonia,5,w,2
Arthur,5,m,2
Elise,5,w,2
Benjamin,5,m,2
Emily,5,w,2
Erik,5,m,2
Frida,5,w,2
Finn,5,m,2
Jane,5,w,2
Gustav,5,m,2
Lina,5,w,2
Johann,5,m,2
Lynn,5,w,2
Liam,5,m,2
Magdalena,5,w,2
Louis,5,m,2
Olivia,5,w,2
Noah,5,m,2
Rosa,5,w,2
Robert,5,m,2
Rose,5,w,2
Vincent,5,m,2
Artur,5,m,1
Bela,5,m,1
Fiete,5,m,1
Hamza,5,m,1
Jasper,5,m,1
Ada,5,w,1
Jonathan,5,m,1
Aleyna,5,w,1
Jonte,5,m,1
Antonia,5,w,1
Joshua,5,m,1
Aurelia,5,w,1
Lennard,5,m,1
Eda,5,w,1
Leonardo,5,m,1
Ela,5,w,1
Mats,5,m,1
Elina,5,w,1
Mattis,5,m,1
Hedi,5,w,1
Michael,5,m,1
Helena,5,w,1
Oscar,5,m,1
Juno,5,w,1
Richard,5,m,1
Lisa,5,w,1
Samuel,5,m,1
Maja,5,w,1
Yasin,5,m,1
Olivia,5,w,1
Thea,5,w,1
Victoria,5,w,1
Yuna,5,w,1
Zoey,5,w,1
Alexander,4,m,3
Johanna,4,w,3
Amalia,4,w,2
Adrian,4,m,2
Elin,4,w,2
David,4,m,2
Ella,4,w,2
John,4,m,2
Emma,4,w,2
Jonas,4,m,2
Frieda,4,w,2
Julius,4,m,2
Hanna,4,w,2
Ludwig,4,m,2
Jasmin,4,w,2
Martin,4,m,2
Katharina,4,w,2
Peter,4,m,2
Margarete,4,w,2
Philipp,4,m,2
Marlene,4,w,2
Samuel,4,m,2
Matilda,4,w,2
Theodor,4,m,2
Melody,4,w,2
Willi,4,m,2
Pauline,4,w,2
Aaron,4,m,1
August,4,m,1
Ayaz,4,m,1
Benedikt,4,m,1
Benjamin,4,m,1
Aaliyah,4,w,1
Can,4,m,1
Amira,4,w,1
Carlo,4,m,1
Amy,4,w,1
Charlie,4,m,1
Anouk,4,w,1
Daniel,4,m,1
Carlotta,4,w,1
David,4,m,1
Cleo,4,w,1
Diego,4,m,1
Edda,4,w,1
Elian,4,m,1
Elif,4,w,1
Frederik,4,m,1
Elisa,4,w,1
Gabriel,4,m,1
Eva,4,w,1
Hannes,4,m,1
Fiona,4,w,1
Janosch,4,m,1
Frieda,4,w,1
