vorname,anzahl,geschlecht,position
Sophie,49,w,2
Marie,46,w,2
Charlotte,44,w,1
Noah,41,m,1
Emilia,40,w,1
Maria,34,w,2
Ella,31,w,1
Charlotte,31,w,2
Alexander,30,m,2
Mila,27,w,1
Anton,27,m,1
Leon,27,m,1
Adam,25,m,1
Maximilian,25,m,1
Lea,24,w,1
Mia,24,w,1
Emil,24,m,1
Felix,24,m,1
Jakob,24,m,1
Paul,24,m,1
Sophie,23,w,1
Levi,23,m,1
Oskar,23,m,1
Theodor,23,m,1
Clara,22,w,1
Lina,22,w,1
Elias,22,m,1
Lukas,22,m,1
Anna,21,w,1
Liam,21,m,1
Louis,21,m,1
Emil,21,m,2
Karl,20,m,1
Leonard,20,m,1
Maximilian,20,m,2
Leo,19,m,1
Milan,19,m,1
Valentin,19,m,1
Emilia,19,w,2
Mathilda,18,w,1
Bruno,18,m,1
Elias,18,m,2
Ava,17,w,1
Emma,17,w,1
Rosa,17,w,1
Finn,17,m,1
Theo,17,m,1
Elisabeth,17,w,2
Paul,17,m,2
Valentin,17,m,2
Hannah,16,w,1
Lena,16,w,1
Sophia,16,w,2
Maria,15,w,1
Marie,15,w,1
Olivia,15,w,1
Paula,15,w,1
Aaron,15,m,1
Henry,15,m,1
Jonathan,15,m,1
Luise,15,w,2
Helena,14,w,1
Johanna,14,w,1
Leonie,14,w,1
Mira,14,w,1
Arthur,14,m,1
Ben,14,m,1
Jasper,14,m,1
Julius,14,m,1
Luca,14,m,1
Levi,14,m,2
Theodor,14,m,2
Amira,13,w,1
Ida,13,w,1
Mara,13,w,1
Marlene,13,w,1
Maya,13,w,1
Zoe,13,w,1
Alexander,13,m,1
Raphael,13,m,1
Alva,12,w,1
Cleo,12,w,1
Juna,12,w,1
Lara,12,w,1
Leni,12,w,1
Paulina,12,w,1
Sophia,12,w,1
Jonas,12,m,1
Linus,12,m,1
Milo,12,m,1
Samuel,12,m,1
Vincent,12,m,1
Johanna,12,w,2
Noah,12,m,2
Oskar,12,m,2
Alma,11,w,1
Antonia,11,w,1
Elena,11,w,1
Elisa,11,w,1
Elisabeth,11,w,1
Flora,11,w,1
Hanna,11,w,1
Laura,11,w,1
Luisa,11,w,1
Sara,11,w,1
Ali,11,m,1
Amir,11,m,1
Carl,11,m,1
Gabriel,11,m,1
Jonah,11,m,1
Joshua,11,m,1
Leopold,11,m,1
Luis,11,m,1
Matteo,11,m,1
Yasin,11,m,1
Luisa,11,w,2
Valentina,11,w,2
Ali,11,m,2
Jonathan,11,m,2
Wilhelm,11,m,2
Amelie,10,w,1
Frida,10,w,1
Frieda,10,w,1
Liya,10,w,1
Malia,10,w,1
Nora,10,w,1
Romy,10,w,1
Benjamin,10,m,1
Daniel,10,m,1
David,10,m,1
Edgar,10,m,1
Jona,10,m,1
Julian,10,m,1
Konstantin,10,m,1
Leander,10,m,1
Lian,10,m,1
Malik,10,m,1
Ole,10,m,1
Oscar,10,m,1
Tim,10,m,1
Tom,10,m,1
Elise,10,w,2
Josephine,10,w,2
Lou,10,w,2
Benjamin,10,m,2
Alina,9,w,1
Amalia,9,w,1
Carla,9,w,1
Isabella,9,w,1
Julia,9,w,1
