vorname,anzahl,geschlecht,position
Emilia,16,w,1
Charlotte,15,w,1
Marie,14,w,2
Sophie,14,w,2
Maria,11,w,2
Emilia,10,w,2
Sophia,9,w,1
Emma,8,w,1
Lara,8,w,1
Elias,8,m,1
Emil,8,m,1
Leo,8,m,1
Leon,8,m,1
Levi,8,m,1
Charlotte,8,w,2
Alexander,8,m,2
Hanna,7,w,1
Mila,7,w,1
Zoe,7,w,1
Felix,7,m,1
Jakob,7,m,1
Clara,6,w,1
Hannah,6,w,1
Ida,6,w,1
Lea,6,w,1
Lia,6,w,1
Luisa,6,w,1
Malou,6,w,1
Olivia,6,w,1
Alexander,6,m,1
Ben,6,m,1
Jonathan,6,m,1
Karl,6,m,1
Noah,6,m,1
Victoria,6,w,2
Elias,6,m,2
Anna,5,w,1
Ella,5,w,1
Romy,5,w,1
Aaron,5,m,1
Adam,5,m,1
Liam,5,m,1
Louis,5,m,1
Luis,5,m,1
Matteo,5,m,1
Maximilian,5,m,1
Theo,5,m,1
Theodor,5,m,1
Tim,5,m,1
Sophia,5,w,2
David,5,m,2
Friedrich,5,m,2
Alina,4,w,1
Alma,4,w,1
Amelie,4,w,1
Elena,4,w,1
Emily,4,w,1
Johanna,4,w,1
Lilly,4,w,1
Livia,4,w,1
Luise,4,w,1
Malea,4,w,1
Mara,4,w,1
Marie,4,w,1
Mathilda,4,w,1
Maya,4,w,1
Mira,4,w,1
Pauline,4,w,1
Daniel,4,m,1
Finn,4,m,1
Julian,4,m,1
Lasse,4,m,1
Mateo,4,m,1
Milan,4,m,1
Moritz,4,m,1
Oskar,4,m,1
Paul,4,m,1
Samuel,4,m,1
Toni,4,m,1
Valentin,4,m,1
Elisabeth,4,w,2
Luise,4,w,2
Pauline,4,w,2
Emil,4,m,2
Julius,4,m,2
Levi,4,m,2
Matteo,4,m,2
Theodor,4,m,2
Amalia,3,w,1
Ava,3,w,1
Elina,3,w,1
Frida,3,w,1
Helena,3,w,1
Laura,3,w,1
Leni,3,w,1
Linnea,3,w,1
Lucia,3,w,1
Melek,3,w,1
Nika,3,w,1
Ruby,3,w,1
Sophie,3,w,1
Viktoria,3,w,1
Arthur,3,m,1
Ayaz,3,m,1
Benjamin,3,m,1
Caspar,3,m,1
Erik,3,m,1
Fabian,3,m,1
Friedrich,3,m,1
Jonas,3,m,1
Julius,3,m,1
Justus,3,m,1
Leonidas,3,m,1
Lian,3,m,1
Lio,3,m,1
Luan,3,m,1
Luka,3,m,1
Lukas,3,m,1
Neo,3,m,1
Nicolas,3,m,1
Philipp,3,m,1
Tamino,3,m,1
Tom,3,m,1
Jasmin,3,w,2
Johanna,3,w,2
Lou,3,w,2
Lynn,3,w,2
Ruth,3,w,2
Christian,3,m,2
Daniel,3,m,2
Felix,3,m,2
Gabriel,3,m,2
Kurt,3,m,2
Liam,3,m,2
Luca,3,m,2
Magnus,3,m,2
Mateo,3,m,2
Mats,3,m,2
Maximilian,3,m,2
Noel,3,m,2
Paul,3,m,2
Valentin,3,m,2
Marie,3,w,3
Sophie,3,w,3
Alexander,3,m,3
Ada,2,w,1
Alexandra,2,w,1
Alisa,2,w,1
Carla,2,w,1
Chiara,2,w,1
Diana,2,w,1
Eleni,2,w,1
Elisa,2,w,1
Elisabeth,2,w,1
Felina,2,w,1
Finja,2,w,1
Flora,2,w,1
Hanne,2,w,1
Hilda,2,w,1
Isabella,2,w,1
Julia,2,w,1
Leoni,2,w,1
Leonie,2,w,1
Liara,2,w,1
Lisa,2,w,1
Liya,2,w,1
Louisa,2,w,1
Luna,2,w,1
Maja,2,w,1
Maria,2,w,1
Marina,2,w,1
Marta,2,w,1
Matilda,2,w,1
Merle,2,w,1
Mia,2,w,1
Milla,2,w,1
Mina,2,w,1
Naomi,2,w,1
Nia,2,w,1
Nora,2,w,1
Nour,2,w,1
Paula,2,w,1
Rosalie,2,w,1
Sarah,2,w,1
Sofia,2,w,1
Valentina,2,w,1
Valerie,2,w,1
Victoria,2,w,1
Anton,2,m,1
Artur,2,m,1
Bennet,2,m,1
Bruno,2,m,1
Charlie,2,m,1
David,2,m,1
Elan,2,m,1
Elyas,2,m,1
Enno,2,m,1
Florentin,2,m,1
Fritz,2,m,1
Gustav,2,m,1
Henry,2,m,1
İlyas,2,m,1
Jan,2,m,1
Jasper,2,m,1
Johannes,2,m,1
Jona,2,m,1
Joshua,2,m,1
Kairo,2,m,1
Leano,2,m,1
Lennart,2,m,1
Leonard,2,m,1
Levin,2,m,1
Lionel,2,m,1
Luca,2,m,1
Lucas,2,m,1
Mailo,2,m,1
Malik,2,m,1
Mathias,2,m,1
Mats,2,m,1
Mattheo,2,m,1
Max,2,m,1
Nathan,2,m,1
Nero,2,m,1
Nikolai,2,m,1
Ole,2,m,1
Rafael,2,m,1
Raffael,2,m,1
Tristan,2,m,1
William,2,m,1
Yaman,2,m,1
Alexandra,2,w,2
Amelie,2,w,2
Anna,2,w,2
Bella,2,w,2
Clara,2,w,2
Eleni,2,w,2
Elis,2,w,2
Elise,2,w,2
Ella,2,w,2
Erika,2,w,2
Franziska,2,w,2
Hanna,2,w,2
Helen,2,w,2
Helena,2,w,2
Isabella,2,w,2
Luisa,2,w,2
Marlen,2,w,2
Marlene,2,w,2
Olivia,2,w,2
Paulina,2,w,2
Penelope,2,w,2
Renate,2,w,2
Rosa,2,w,2
Sarah,2,w,2
Viktoria,2,w,2
Wilma,2,w,2
Arthur,2,m,2
Carlo,2,m,2
Diego,2,m,2
Edward,2,m,2
Eli,2,m,2
Fritz,2,m,2
Fynn,2,m,2
Georg,2,m,2
Hans,2,m,2
Hendrik,2,m,2
Henri,2,m,2
Henry,2,m,2
James,2,m,2
Johann,2,m,2
Johannes,2,m,2
Linus,2,m,2
Miguel,2,m,2
Milan,2,m,2
Moritz,2,m,2
Neo,2,m,2
Nicolas,2,m,2
Samuel,2,m,2
Theo,2,m,2
Thomas,2,m,2
Vincent,2,m,2
Willi,2,m,2
William,2,m,2
Ursula,2,w,3
Amadeus,2,m,3
Friedrich,2,m,3
Konstantin,2,m,3
